n,Iterative Timing,Dynamic Timing,Recursive Timing
1,0.000004,0.000002,0.000002
2,0.000001,0.000001,0.000001
3,0.000000,0.000001,0.000002
4,0.000001,0.000002,0.000002
5,0.000002,0.000001,0.000001
6,0.000001,0.000001,0.000001
7,0.000002,0.000000,0.000002
8,0.000001,0.000002,0.000003
9,0.000002,0.000002,0.000003
10,0.000001,0.000001,0.000002
11,0.000000,0.000001,0.000003
12,0.000001,0.000002,0.000009
13,0.000002,0.000001,0.000004
14,0.000002,0.000001,0.000007
15,0.000002,0.000002,0.000010
16,0.000001,0.000001,0.000013
17,0.000001,0.000002,0.000024
18,0.000000,0.000001,0.000036
19,0.000001,0.000002,0.000056
20,0.000001,0.000002,0.000093
21,0.000000,0.000001,0.000146
22,0.000000,0.000001,0.000237
23,0.000001,0.000001,0.000378
24,0.000002,0.000000,0.000606
25,0.000002,0.000000,0.000989
26,0.000002,0.000001,0.001608
27,0.000001,0.000001,0.002589
28,0.000000,0.000001,0.004710
29,0.000002,0.000001,0.007800
30,0.000001,0.000001,0.011794
31,0.000002,0.000000,0.019333
32,0.000002,0.000002,0.030318
33,0.000001,0.000001,0.050615
34,0.000002,0.000001,0.081557
35,0.000001,0.000002,0.121736
36,0.000001,0.000001,0.192782
37,0.000002,0.000002,0.324212
38,0.000001,0.000002,0.515111
39,0.000001,0.000002,0.824204
40,0.000001,0.000001,1.327554
41,0.000002,0.000001,2.123652
42,0.000001,0.000001,3.442512
43,0.000003,0.000002,5.588105
44,0.000002,0.000002,8.827117
45,0.000002,0.000004,14.268852
46,0.000002,0.000002,23.197690
47,0.000002,0.000001,37.692939
48,0.000002,0.000001,61.184132
49,0.000001,0.000000,100.433627
50,0.000002,0.000002,165.314438
